,Date,New_deaths,joy,love,sadness,surprise,fear,anger,sentiment_label,Average rating,disease-related,NumberOfPost,illness_light illness,illness_no illness,illness_severe illness
118,2020-07-12,0,0.5507512221467638,0.0035663016322359333,0.12500589095933326,0.0034277541067456135,0.22443428655720446,0.09281454978412336,0.2095238095238095,0.45869822205177374,0.31582641714285714,10,0.22709750566893425,0.4875607385811467,0.3399578879170716
119,2020-07-13,0,0.5527346213725173,0.0034670561931436374,0.09844415417180803,0.004621566315195351,0.23688890877341948,0.10384369987164277,0.1619047619047619,0.44376648854686035,0.3230283742857143,8,0.25884353741496596,0.4649092970521543,0.33917233560090704
120,2020-07-14,0,0.5877673042028965,0.003423624903128509,0.08416028774705145,0.004471872603018993,0.21741162599237643,0.10276528442995007,0.18571428571428572,0.445457531515775,0.3315130371428571,2,0.22312925170068026,0.45212180110139294,0.33736637512147716
121,2020-07-15,0,0.5748117664385409,0.0034877531360030497,0.08321788423303841,0.004531006149807607,0.24222072998368052,0.09173086121168338,0.22142857142857145,0.4405194708718253,0.31649969142857143,4,0.20782312925170068,0.43277453838678326,0.349408811143505
122,2020-07-16,0,0.6074637943490719,0.003403133704601402,0.04981766968142303,0.004139016137958633,0.2036054099949459,0.13157098693440533,0.22142857142857145,0.44850674198807344,0.31488126857142856,6,0.16700680272108845,0.43733398121153216,0.35212180110139285
123,2020-07-17,0,0.6456309059246754,0.0035166967845205377,0.028699328580322363,0.0037913689061713257,0.19693928199100938,0.12142241100581093,0.22142857142857145,0.4738440740893461,0.3162604214285714,4,0.16700680272108845,0.4523890508584386,0.3385082604470359
124,2020-07-18,0,0.7102007623639933,0.0029736862636387086,0.02111928533953942,0.003021819769422797,0.1606975837625213,0.10198684808897915,0.36428571428571427,0.5220221838288541,0.33711536714285717,1,0.13129251700680272,0.4834791059280856,0.3190638160025915
125,2020-07-19,0,0.7276564375441966,0.0030863829649335817,0.023356448058620978,0.0031012753625829495,0.1355867447346099,0.10721269957554921,0.32142857142857145,0.5316740759448814,0.3458168128571429,4,0.08843537414965986,0.5217120181405897,0.3006397797214123
126,2020-07-20,0,0.7122601330490961,0.0032729065257756157,0.027294606009880696,0.002048454716541044,0.15331427775215287,0.1018096086918376,0.32142857142857145,0.5411320258397608,0.3370080385714286,8,0.07256235827664399,0.5542759961127307,0.2946873987690314
127,2020-07-21,0,0.6509144024868008,0.003405431749914461,0.049247253208471016,0.0020687561570888026,0.16186912953645718,0.13249501401109484,0.25,0.5442167879255223,0.33396047285714286,5,0.09637188208616777,0.5757855523161645,0.29128603822481375
128,2020-07-22,0,0.7007121424711797,0.003136249771064457,0.04629497699289845,0.0018695857958629313,0.12109317637431168,0.1268938537980873,0.3190476190476191,0.5670031526777893,0.34114403285714284,15,0.07596371882086166,0.6132491091674765,0.27265954000647874
129,2020-07-23,1,0.7205601089545305,0.0032188174195609334,0.04703756075302534,0.002121221701686577,0.13627293694215556,0.09078932827881844,0.34761904761904766,0.5606418061668851,0.3381134414285714,5,0.055555555555555546,0.6308875931324912,0.2709426627793975
130,2020-07-24,0,0.6684740246717064,0.022442811338086788,0.04863554729714187,0.0023966804326932766,0.1664347174053546,0.09161619820377033,0.31190476190476196,0.5544834289699793,0.33840639,4,0.08412698412698413,0.6403628117913832,0.2733074182053774
131,2020-07-27,0,0.642072377172077,0.022862341162965573,0.0532884124961054,0.002678323906155724,0.17987979998923742,0.09921872921170803,0.16904761904761906,0.5434702756833664,0.34477842571428574,7,0.1101010101010101,0.6387063050328357,0.2779912830933239
132,2020-07-28,0,0.6146744288437601,0.02271893234605909,0.0496134301975407,0.0025822158721132632,0.1935345638439227,0.11687641683870886,0.16904761904761906,0.5346214081711914,0.3453820585714285,6,0.1305091733663162,0.62917807815767,0.2815089672232529
133,2020-07-29,0,0.5984936314136056,0.022665524775745155,0.07272854778269415,0.0026072765568660415,0.18995333284960875,0.11355168515322157,0.16904761904761906,0.5309324954721923,0.33468932999999995,4,0.1344774273345702,0.6275863592190122,0.2742556762964926
134,2020-07-30,0,0.6519146746811678,0.022782624934817336,0.05106870604831036,0.002699717837560007,0.18484213400492955,0.08669214194567655,0.21666666666666665,0.5318814836111122,0.3307961857142857,6,0.11066790352504638,0.6302463409606267,0.26955340577789555
135,2020-07-31,0,0.6187174710123579,0.023329980678652,0.05661912674169831,0.003069080180507478,0.19134605168924246,0.10691829611163987,0.11190476190476188,0.4903394934310115,0.31482120999999996,2,0.11066790352504638,0.6155755808817034,0.27926642518479255
136,2020-08-01,0,0.6005744495196268,0.02358716659007912,0.06127009735772141,0.0032267136907926683,0.1994129415945689,0.11192863835037689,0.08333333333333333,0.4685519822071731,0.30334223714285713,3,0.11066790352504638,0.6007104573431103,0.2862583561563153
137,2020-08-02,0,0.6347399496063145,0.004355759616880973,0.05953840362414915,0.003068913244539308,0.17543329831101293,0.12286368343063632,0.07142857142857142,0.465801607956793,0.2903090171428571,6,0.08209647495361781,0.595369143328327,0.2918897429101511
138,2020-08-03,0,0.5652157644951893,0.004152492628366236,0.08240619042356097,0.0032043585933500414,0.22367715538538976,0.12134404423358357,0.07142857142857142,0.46407221859054903,0.2925309242857143,3,0.10374149659863943,0.5816790352504638,0.3064883529169244
139,2020-08-04,0,0.6027413785646092,0.003911646060426955,0.08266326374901757,0.0030574978871324284,0.2126443131772273,0.09498190721195998,0.07142857142857142,0.46154025020648015,0.28687487428571423,7,0.12414965986394558,0.5687177901463615,0.32035809994993664
140,2020-08-05,0,0.5659863204650935,0.003480049185169698,0.19250352456761827,0.002554711624805689,0.15834512726822905,0.07713027063323194,0.07142857142857142,0.4638104341049888,0.3233054914285714,1,0.08843537414965986,0.5625592661306947,0.33309406013487647
141,2020-08-06,0,0.5812768978199788,0.0032159334795824634,0.1906885970792524,0.0024253681643198665,0.151298275320683,0.07109492173161809,0.05238095238095238,0.47807398163263687,0.33512559000000003,5,0.08843537414965986,0.5499381570810142,0.34889124480961214
142,2020-08-07,0,0.5728919000852676,0.00282168565250668,0.18707800571946107,0.0022616305380392357,0.1846321296269948,0.05031464826236443,0.14761904761904762,0.5207878926657393,0.34705925142857147,3,0.08843537414965986,0.5554576376004947,0.3465478399151869
143,2020-08-08,0,0.49792288850460725,0.0025717420895903275,0.18070384624642225,0.002303784858687974,0.280410313549876,0.036087435190439145,0.14761904761904762,0.5606853805814368,0.3475958128571429,1,0.08843537414965986,0.5596165739022881,0.34556497923844864
144,2020-08-09,0,0.4670545755967903,0.0023840112930011083,0.19328034574135847,0.0022239355088668846,0.2864995425966961,0.048557605174034284,0.12380952380952381,0.5780481175490382,0.3614327157142857,7,0.08843537414965986,0.5593051506316813,0.3449708454810495
145,2020-08-10,0,0.5557400957674903,0.0023677192458907608,0.17074787956321938,0.0018908313315774605,0.22547690046160812,0.04377659461334292,0.12380952380952381,0.5627025989032521,0.32988077857142856,1,0.04081632653061224,0.5886783284742468,0.3245869776482021
146,2020-08-11,0,0.5169951866640626,0.0028540310822109853,0.17056376676712273,0.0020993538379041423,0.22271589811944373,0.08477177578420533,0.13809523809523808,0.5644114166057231,0.3363187171428571,10,0.011904761904761904,0.6204810495626824,0.30881924198250726
147,2020-08-12,0,0.5999527377774146,0.003101186967295609,0.07812576857500397,0.0022485481318146087,0.22478829697237762,0.09178346788485335,0.18571428571428572,0.5755511509434503,0.30354907714285717,3,0.011904761904761904,0.6420796890184646,0.29815354713313896
148,2020-08-13,0,0.6060239953686624,0.003057843542298986,0.07687231999694058,0.0021149512884233433,0.217832312742557,0.09409858931828488,0.3,0.5831697319361832,0.2970984114285714,1,0.011904761904761904,0.6774538386783284,0.27371234207968903
149,2020-08-14,0,0.6069584785194807,0.003137258744539582,0.07959572871852753,0.0021165398122159314,0.20449724367484734,0.10369475577145393,0.2285714285714286,0.5799604766641041,0.3052196714285714,6,0.011904761904761904,0.695821185617104,0.2662779397473275
150,2020-08-18,0,0.6917640786872207,0.0032209902097586197,0.08292871083548292,0.001960019123753112,0.10128493994893344,0.11884126090341667,0.2761904761904762,0.5758783604278147,0.30655642000000005,3,0.011904761904761904,0.7277939747327503,0.24523809523809523
151,2020-08-19,0,0.7067477640512931,0.0031038861924094544,0.08326189819171777,0.001980866314815527,0.09654985549998288,0.10835573099431621,0.2761904761904762,0.5524039742492495,0.3053440457142857,4,0.047619047619047616,0.7595238095238095,0.2193391642371234
152,2020-08-20,0,0.6861483179249002,0.0033774347413175624,0.08202573763985473,0.0022239124112750914,0.11046343777866455,0.11576116333460608,0.2761904761904762,0.5640774795874244,0.32396154714285713,2,0.11904761904761905,0.7606413994169098,0.20704567541302232
153,2020-08-21,0,0.708065884262656,0.003507563502006637,0.08532693335326343,0.0023630244513263587,0.11612789804903079,0.08460871710918748,0.2619047619047619,0.5359833943347136,0.30482547285714284,1,0.10714285714285714,0.7627308066083577,0.19135082604470358
154,2020-08-22,0,0.7422202659016918,0.0035986115392352565,0.040419849019686094,0.002834319178613649,0.12839084739209197,0.08253613871888119,0.21428571428571427,0.5104834061648165,0.31144008428571424,1,0.10714285714285714,0.7546161321671525,0.1858600583090379
155,2020-08-23,0,0.6895310489771268,0.0037987315130608083,0.04454712473726384,0.0030928112832562774,0.16504028839269827,0.0939900383536171,0.07142857142857142,0.49093053313238283,0.32521675714285714,5,0.10714285714285714,0.7301749271137027,0.1966958211856171
156,2020-08-24,0,0.6560564446821532,0.0038044823869962654,0.047442403587878525,0.0030414684370736154,0.13962262555446828,0.15003261770276968,0.07142857142857142,0.4756003189193351,0.31786109285714287,6,0.13095238095238096,0.7125364431486881,0.19732750242954317
157,2020-08-25,0,0.6756003422201112,0.0036993300452151665,0.0462716969409181,0.00284084798102927,0.12027346609226826,0.1513143556735788,0.023809523809523808,0.4547104404511906,0.33972560142857144,4,0.13095238095238096,0.6976190476190476,0.19523809523809518
158,2020-08-26,0,0.6788206907059898,0.004053687306475731,0.037948515117057526,0.003128979575870102,0.13055781854117018,0.14549034500405897,0.023809523809523808,0.4279638680301252,0.33284977857142856,1,0.09523809523809523,0.6870748299319728,0.19897959183673466
